nobel year,firstname,lastname,category,gender,motivation,birth_country,birth_country_code,death_date,death_country,death_country_code,organization_name,organization_country,age,birth_year,alpha-3
1903,Pierre,Curie,physics,male,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",France,FR,19-04-1906,France,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France,44,1859,FRA
1903,Randal,Cremer,peace,male,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",United Kingdom,GB,22-07-1908,United Kingdom,GB,,,75,1828,GBR
1903,Henri,Becquerel,physics,male,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",France,FR,25-08-1908,France,FR,École Polytechnique,France,51,1852,FRA
1903,Marie,Curie,physics,female,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",Poland,PL,4/7/1934,France,FR,,,36,1867,POL
1903,Niels Ryberg,Finsen,medicine,male,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",Faroe Islands (Denmark),DK,24-09-1904,Denmark,DK,Finsen Medical Light Institute,Denmark,43,1860,DNK
1903,Bjørnstjerne,Bjørnson,literature,male,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",Norway,NO,26-04-1910,France,FR,,,71,1832,NOR
1903,Svante,Arrhenius,chemistry,male,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Sweden,SE,2/10/1927,Sweden,SE,Stockholm University,Sweden,44,1859,SWE
1904,José,Echegaray,literature,male,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",Spain,ES,4/9/1916,Spain,ES,,,72,1832,ESP
1904,Lord,Rayleigh,physics,male,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",United Kingdom,GB,30-06-1919,United Kingdom,GB,Royal Institution of Great Britain,United Kingdom,62,1842,GBR
1904,Institute of International Law,,peace,org,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",,,0000-00-00,,,,,31,1873,NAM
1904,Sir William,Ramsay,chemistry,male,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",Scotland,GB,23-07-1916,United Kingdom,GB,University College,United Kingdom,52,1852,GBR
1904,Ivan,Pavlov,medicine,male,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",Russia,RU,27-02-1936,Russia,RU,Military Medical Academy,Russia,55,1849,RUS
1904,Frédéric,Mistral,literature,male,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",France,FR,25-03-1914,France,FR,,,74,1830,FRA
1905,Adolf,von Baeyer,chemistry,male,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",Germany,DE,20-08-1917,Germany,DE,Munich University,Germany,70,1835,DEU
1905,Henryk,Sienkiewicz,literature,male,"""because of his outstanding merits as an epic writer""",Poland,PL,15-11-1916,Switzerland,CH,,,59,1846,POL
1905,Philipp,Lenard,physics,male,"""for his work on cathode rays""",Slovakia,SK,20-05-1947,Germany,DE,Kiel University,Germany,43,1862,SVK
1905,Bertha,von Suttner,peace,female,"""for her audacity to oppose the horrors of war""",Republic,CZ,21-06-1914,Austria,AT,,,62,1843,CZE
1905,Robert,Koch,medicine,male,"""for his investigations and discoveries in relation to tuberculosis""",Germany,DE,27-05-1910,Germany,DE,Institute for Infectious Diseases,Germany,62,1843,DEU
1906,Giosuè,Carducci,literature,male,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",Italy,IT,16-02-1907,Italy,IT,,,71,1835,ITA
1906,Theodore,Roosevelt,peace,male,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",USA,US,6/1/1919,USA,US,,,48,1858,USA
1906,J.J.,Thomson,physics,male,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",United Kingdom,GB,30-08-1940,United Kingdom,GB,University of Cambridge,United Kingdom,50,1856,GBR
1906,Santiago,Ramón y Cajal,medicine,male,"""in recognition of their work on the structure of the nervous system""",Spain,ES,17-10-1934,Spain,ES,Madrid University,Spain,54,1852,ESP
1906,Henri,Moissan,chemistry,male,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",France,FR,20-02-1907,France,FR,Sorbonne University,France,54,1852,FRA
1906,Camillo,Golgi,medicine,male,"""in recognition of their work on the structure of the nervous system""",Italy,IT,21-01-1926,Italy,IT,Pavia University,Italy,63,1843,ITA
1907,Alphonse,Laveran,medicine,male,"""in recognition of his work on the role played by protozoa in causing diseases""",France,FR,18-05-1922,France,FR,Institut Pasteur,France,62,1845,FRA
1907,Eduard,Buchner,chemistry,male,"""for his biochemical researches and his discovery of cell-free fermentation""",Germany,DE,13-08-1917,Romania,RO,Landwirtschaftliche Hochschule (Agricultural College),Germany,47,1860,DEU
1907,Rudyard,Kipling,literature,male,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",India,IN,18-01-1936,United Kingdom,GB,,,42,1865,IND
1907,Louis,Renault,peace,male,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",France,FR,8/2/1918,France,FR,Sorbonne University,France,64,1843,FRA
1907,Ernesto Teodoro,Moneta,peace,male,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",Italy,IT,10/2/1918,Italy,IT,,,74,1833,ITA
1907,Albert A.,Michelson,physics,male,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",Poland,PL,9/5/1931,USA,US,University of Chicago,USA,55,1852,POL
1908,Ernest,Rutherford,chemistry,male,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",New Zealand,NZ,19-10-1937,United Kingdom,GB,Victoria University,United Kingdom,37,1871,NZL
1908,Rudolf,Eucken,literature,male,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",Germany,DE,14-09-1926,Germany,DE,,,62,1846,DEU
1908,Fredrik,Bajer,peace,male,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Denmark,DK,22-01-1922,Denmark,DK,,,71,1837,DNK
1908,Ilya,Mechnikov,medicine,male,"""in recognition of their work on immunity""",Ukraine,UA,15-07-1916,France,FR,Institut Pasteur,France,63,1845,UKR
1908,Paul,Ehrlich,medicine,male,"""in recognition of their work on immunity""",Poland,PL,20-08-1915,Germany,DE,Goettingen University,Germany,54,1854,POL
1908,Klas Pontus,Arnoldson,peace,male,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Sweden,SE,20-02-1916,Sweden,SE,,,64,1844,SWE
1908,Gabriel,Lippmann,physics,male,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Luxembourg,LU,13-07-1921,,,Sorbonne University,France,63,1845,LUX
1909,Guglielmo,Marconi,physics,male,"""in recognition of their contributions to the development of wireless telegraphy""",Italy,IT,20-07-1937,Italy,IT,Marconi Wireless Telegraph Co. Ltd.,United Kingdom,35,1874,ITA
1909,Theodor,Kocher,medicine,male,"""for his work on the physiology pathology and surgery of the thyroid gland""",Switzerland,CH,27-07-1917,Switzerland,CH,Berne University,Switzerland,68,1841,CHE
1909,Selma,Lagerlöf,literature,female,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",Sweden,SE,16-03-1940,Sweden,SE,,,51,1858,SWE
1909,Wilhelm,Ostwald,chemistry,male,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Latvia,LV,4/4/1932,Germany,DE,Leipzig University,Germany,56,1853,LVA
1909,Ferdinand,Braun,physics,male,"""in recognition of their contributions to the development of wireless telegraphy""",Germany,DE,20-04-1918,USA,US,Strasbourg University,Germany (now France),59,1850,DEU
1909,Auguste,Beernaert,peace,male,"""for their prominent position in the international movement for peace and arbitration""",Belgium,BE,6/10/1912,Switzerland,CH,,,80,1829,BEL
1909,Paul Henri,d'Estournelles de Constant,peace,male,"""for their prominent position in the international movement for peace and arbitration""",France,FR,15-05-1924,France,FR,,,57,1852,FRA
1910,Paul,Heyse,literature,male,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",Germany,DE,2/4/1914,Germany,DE,,,80,1830,DEU
1910,Permanent International Peace Bureau,,peace,org,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",,,0000-00-00,,,,,19,1891,NAM
1910,Johannes Diderik,van der Waals,physics,male,"""for his work on the equation of state for gases and liquids""",the Netherlands,NL,8/3/1923,the Netherlands,NL,Amsterdam University,the Netherlands,73,1837,NLD
1910,Albrecht,Kossel,medicine,male,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",Germany,DE,5/7/1927,Germany,DE,University of Heidelberg,Germany,57,1853,DEU
1910,Otto,Wallach,chemistry,male,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Russia,RU,26-02-1931,Germany,DE,Goettingen University,Germany,63,1847,RUS
1911,Alfred,Fried,peace,male,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",Austria,AT,4/5/1921,Austria,AT,,,47,1864,AUT
1911,Tobias,Asser,peace,male,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",the Netherlands,NL,29-07-1913,the Netherlands,NL,,,73,1838,NLD
1911,Marie,Curie,chemistry,female,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",Poland,PL,4/7/1934,France,FR,Sorbonne University,France,44,1867,POL
1911,Wilhelm,Wien,physics,male,"""for his discoveries regarding the laws governing the radiation of heat""",Russia,RU,30-08-1928,Germany,DE,Würzburg University,Germany,47,1864,RUS
1911,Maurice,Maeterlinck,literature,male,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",Belgium,BE,6/5/1949,France,FR,,,49,1862,BEL
1911,Allvar,Gullstrand,medicine,male,"""for his work on the dioptrics of the eye""",Sweden,SE,28-07-1930,Sweden,SE,Uppsala University,Sweden,49,1862,SWE
1912,Gerhart,Hauptmann,literature,male,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",Poland,PL,6/6/1946,Germany (now Poland),PL,,,50,1862,POL
1912,Alexis,Carrel,medicine,male,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",France,FR,5/11/1944,France,FR,Rockefeller Institute for Medical Research,USA,39,1873,FRA
1912,Paul,Sabatier,chemistry,male,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",France,FR,14-08-1941,France,FR,Toulouse University,France,58,1854,FRA
1912,Victor,Grignard,chemistry,male,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",France,FR,13-12-1935,France,FR,Nancy University,France,41,1871,FRA
1912,Gustaf,Dalén,physics,male,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Sweden,SE,9/12/1937,Sweden,SE,Swedish Gas-Accumulator Co.,Sweden,43,1869,SWE
1912,Elihu,Root,peace,male,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",USA,US,7/2/1937,USA,US,,,67,1845,USA
1913,Charles,Richet,medicine,male,"""in recognition of his work on anaphylaxis""",France,FR,4/12/1935,France,FR,Sorbonne University,France,63,1850,FRA
1913,Alfred,Werner,chemistry,male,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",France,FR,15-11-1919,Switzerland,CH,University of Zurich,Switzerland,47,1866,FRA
1913,Henri,La Fontaine,peace,male,"""for his unparalleled contribution to the organization of peaceful internationalism""",Belgium,BE,14-05-1943,Belgium,BE,,,59,1854,BEL
1913,Rabindranath,Tagore,literature,male,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",India,IN,7/8/1941,India,IN,,,52,1861,IND
1913,Heike,Kamerlingh Onnes,physics,male,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",the Netherlands,NL,21-02-1926,the Netherlands,NL,Leiden University,the Netherlands,60,1853,NLD
1914,Max,von Laue,physics,male,"""for his discovery of the diffraction of X-rays by crystals""",Germany,DE,23-04-1960,West Germany (now Germany),DE,Frankfurt-on-the-Main University,Germany,35,1879,DEU
1914,Robert,Bárány,medicine,male,"""for his work on the physiology and pathology of the vestibular apparatus""",Austria,AT,8/4/1936,Sweden,SE,Vienna University,Austria,38,1876,AUT
1914,Theodore W.,Richards,chemistry,male,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",USA,US,2/4/1928,USA,US,Harvard University,USA,46,1868,USA
1915,William,Bragg,physics,male,"""for their services in the analysis of crystal structure by means of X-rays""",United Kingdom,GB,12/3/1942,United Kingdom,GB,University College,United Kingdom,53,1862,GBR
1915,Lawrence,Bragg,physics,male,"""for their services in the analysis of crystal structure by means of X-rays""",Australia,AU,1/7/1971,United Kingdom,GB,Victoria University,United Kingdom,25,1890,AUS
1915,Richard,Willstätter,chemistry,male,"""for his researches on plant pigments especially chlorophyll""",Germany,DE,3/8/1942,Switzerland,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Germany,43,1872,DEU
1915,Romain,Rolland,literature,male,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",France,FR,30-12-1944,France,FR,,,49,1866,FRA
1916,Verner,von Heidenstam,literature,male,"""in recognition of his significance as the leading representative of a new era in our literature""",Sweden,SE,20-05-1940,Sweden,SE,,,57,1859,SWE
1917,International Committee of the Red Cross,,peace,org,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",,,0000-00-00,,,,,54,1863,NAM
1917,Charles Glover,Barkla,physics,male,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",United Kingdom,GB,23-10-1944,Scotland,GB,Edinburgh University,United Kingdom,40,1877,GBR
1917,Karl,Gjellerup,literature,male,"""for his varied and rich poetry which is inspired by lofty ideals""",Denmark,DK,11/10/1919,Germany,DE,,,60,1857,DNK
1917,Henrik,Pontoppidan,literature,male,"""for his authentic descriptions of present-day life in Denmark""",Denmark,DK,21-08-1943,Denmark,DK,,,60,1857,DNK
1918,Max,Planck,physics,male,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Germany,DE,4/10/1947,West Germany (now Germany),DE,Berlin University,Germany,60,1858,DEU
1918,Fritz,Haber,chemistry,male,"""for the synthesis of ammonia from its elements""",Poland,PL,29-01-1934,Switzerland,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany,50,1868,POL
1919,Woodrow,Wilson,peace,male,"""for his role as founder of the League of Nations""",USA,US,3/2/1924,USA,US,,,63,1856,USA
1919,Jules,Bordet,medicine,male,"""for his discoveries relating to immunity""",Belgium,BE,6/4/1961,Belgium,BE,Brussels University,Belgium,49,1870,BEL
1919,Johannes,Stark,physics,male,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",Germany,DE,21-06-1957,West Germany (now Germany),DE,Greifswald University,Germany,45,1874,DEU
1919,Carl,Spitteler,literature,male,"""in special appreciation of his epic <I>Olympian Spring</I>""",Switzerland,CH,29-12-1924,Switzerland,CH,,,74,1845,CHE
1920,Charles Edouard,Guillaume,physics,male,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",Switzerland,CH,13-06-1938,France,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France,59,1861,CHE
1920,Walther,Nernst,chemistry,male,"""in recognition of his work in thermochemistry""",Poland,PL,18-11-1941,Germany,DE,Berlin University,Germany,56,1864,POL
1920,August,Krogh,medicine,male,"""for his discovery of the capillary motor regulating mechanism""",Denmark,DK,13-09-1949,Denmark,DK,Copenhagen University,Denmark,46,1874,DNK
1920,Léon,Bourgeois,peace,male,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",France,FR,29-09-1925,France,FR,,,69,1851,FRA
1920,Knut,Hamsun,literature,male,"""for his monumental work <I>Growth of the Soil</I>""",Norway,NO,19-02-1952,Norway,NO,,,61,1859,NOR
1921,Anatole,France,literature,male,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",France,FR,12/10/1924,France,FR,,,77,1844,FRA
1921,Hjalmar,Branting,peace,male,"""for their lifelong contributions to the cause of peace and organized internationalism""",Sweden,SE,24-02-1925,Sweden,SE,,,61,1860,SWE
1921,Albert,Einstein,physics,male,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",Germany,DE,18-04-1955,USA,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,42,1879,DEU
1921,Frederick,Soddy,chemistry,male,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",United Kingdom,GB,22-09-1956,United Kingdom,GB,University of Oxford,United Kingdom,44,1877,GBR
1921,Christian,Lange,peace,male,"""for their lifelong contributions to the cause of peace and organized internationalism""",Norway,NO,11/12/1938,Norway,NO,,,52,1869,NOR
1922,Niels,Bohr,physics,male,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",Denmark,DK,18-11-1962,Denmark,DK,Copenhagen University,Denmark,37,1885,DNK
1922,Fridtjof,Nansen,peace,male,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",Norway,NO,13-05-1930,Norway,NO,,,61,1861,NOR
1922,Francis W.,Aston,chemistry,male,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",United Kingdom,GB,20-11-1945,United Kingdom,GB,University of Cambridge,United Kingdom,45,1877,GBR
1922,Otto,Meyerhof,medicine,male,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",Germany,DE,6/10/1951,USA,US,Kiel University,Germany,38,1884,DEU
1922,Jacinto,Benavente,literature,male,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",Spain,ES,14-07-1954,Spain,ES,,,56,1866,ESP
1922,Archibald V.,Hill,medicine,male,"""for his discovery relating to the production of heat in the muscle""",United Kingdom,GB,3/6/1977,United Kingdom,GB,London University,United Kingdom,36,1886,GBR
1923,Frederick G.,Banting,medicine,male,"""for the discovery of insulin""",Canada,CA,21-02-1941,Canada,CA,University of Toronto,Canada,32,1891,CAN
1923,John,Macleod,medicine,male,"""for the discovery of insulin""",Scotland,GB,16-03-1935,Scotland,GB,University of Toronto,Canada,47,1876,GBR
1923,Robert A.,Millikan,physics,male,"""for his work on the elementary charge of electricity and on the photoelectric effect""",USA,US,19-12-1953,USA,US,California Institute of Technology (Caltech),USA,55,1868,USA
1923,Fritz,Pregl,chemistry,male,"""for his invention of the method of micro-analysis of organic substances""",Slovenia,SI,13-12-1930,Austria,AT,Graz University,Austria,54,1869,SVN
1923,William Butler,Yeats,literature,male,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",Ireland,IE,28-01-1939,France,FR,,,58,1865,IRL
1924,Wladyslaw,Reymont,literature,male,"""for his great national epic <I>The Peasants</I>""",Poland,PL,5/12/1925,Poland,PL,,,57,1867,POL
1924,Willem,Einthoven,medicine,male,"""for his discovery of the mechanism of the electrocardiogram""",Indonesia,ID,29-09-1927,the Netherlands,NL,Leiden University,the Netherlands,64,1860,IDN
1924,Manne,Siegbahn,physics,male,"""for his discoveries and research in the field of X-ray spectroscopy""",Sweden,SE,26-09-1978,Sweden,SE,Uppsala University,Sweden,38,1886,SWE
1925,James,Franck,physics,male,"""for their discovery of the laws governing the impact of an electron upon an atom""",Germany,DE,21-05-1964,West Germany (now Germany),DE,Goettingen University,Germany,43,1882,DEU
1925,Gustav,Hertz,physics,male,"""for their discovery of the laws governing the impact of an electron upon an atom""",Germany,DE,30-10-1975,East Germany (now Germany),DE,Halle University,Germany,38,1887,DEU
1925,Sir Austen,Chamberlain,peace,male,"""for his crucial role in bringing about the Locarno Treaty""",United Kingdom,GB,16-03-1937,United Kingdom,GB,,,62,1863,GBR
1925,Charles G.,Dawes,peace,male,"""for his crucial role in bringing about the Dawes Plan""",USA,US,23-04-1951,USA,US,,,60,1865,USA
1925,Richard,Zsigmondy,chemistry,male,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",Austria,AT,24-09-1929,Germany,DE,Goettingen University,Germany,60,1865,AUT
1925,George Bernard,Shaw,literature,male,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",Ireland,IE,2/11/1950,United Kingdom,GB,,,69,1856,IRL
1926,Gustav,Stresemann,peace,male,"""for their crucial role in bringing about the Locarno Treaty""",Germany,DE,3/10/1929,Germany,DE,,,48,1878,DEU
1926,Aristide,Briand,peace,male,"""for their crucial role in bringing about the Locarno Treaty""",France,FR,7/3/1932,France,FR,,,64,1862,FRA
1926,Grazia,Deledda,literature,female,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",Italy,IT,15-08-1936,Italy,IT,,,55,1871,ITA
1926,Johannes,Fibiger,medicine,male,"""for his discovery of the Spiroptera carcinoma""",Denmark,DK,30-01-1928,Denmark,DK,Copenhagen University,Denmark,59,1867,DNK
1926,Jean Baptiste,Perrin,physics,male,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",France,FR,17-04-1942,USA,US,Sorbonne University,France,56,1870,FRA
1926,The,Svedberg,chemistry,male,"""for his work on disperse systems""",Sweden,SE,25-02-1971,Sweden,SE,Uppsala University,Sweden,42,1884,SWE
1927,Henri,Bergson,literature,male,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",France,FR,4/1/1941,France,FR,,,68,1859,FRA
1927,Ludwig,Quidde,peace,male,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",Germany,DE,4/3/1941,Switzerland,CH,,,69,1858,DEU
1927,Arthur H.,Compton,physics,male,"""for his discovery of the effect named after him""",USA,US,15-03-1962,USA,US,University of Chicago,USA,35,1892,USA
1927,C.T.R.,Wilson,physics,male,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",Scotland,GB,15-11-1959,Scotland,GB,University of Cambridge,United Kingdom,58,1869,GBR
1927,Julius,Wagner-Jauregg,medicine,male,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",Austria,AT,27-09-1940,Austria,AT,Vienna University,Austria,70,1857,AUT
1927,Heinrich,Wieland,chemistry,male,"""for his investigations of the constitution of the bile acids and related substances""",Germany,DE,5/8/1957,West Germany (now Germany),DE,Munich University,Germany,50,1877,DEU
1927,Ferdinand,Buisson,peace,male,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",France,FR,16-02-1932,France,FR,,,86,1841,FRA
1928,Charles,Nicolle,medicine,male,"""for his work on typhus""",France,FR,28-02-1936,Tunisia,TN,Institut Pasteur,Tunisia,62,1866,FRA
1928,Adolf,Windaus,chemistry,male,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Germany,DE,9/6/1959,West Germany (now Germany),DE,Goettingen University,Germany,52,1876,DEU
1928,Owen Willans,Richardson,physics,male,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",United Kingdom,GB,15-02-1959,United Kingdom,GB,London University,United Kingdom,49,1879,GBR
1928,Sigrid,Undset,literature,female,"""principally for her powerful descriptions of Northern life during the Middle Ages""",Denmark,DK,10/6/1949,Norway,NO,,,46,1882,DNK
1929,Arthur,Harden,chemistry,male,"""for their investigations on the fermentation of sugar and fermentative enzymes""",United Kingdom,GB,17-06-1940,United Kingdom,GB,London University,United Kingdom,64,1865,GBR
1929,Hans,von Euler-Chelpin,chemistry,male,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Germany,DE,6/11/1964,Sweden,SE,Stockholm University,Sweden,56,1873,DEU
1929,Christiaan,Eijkman,medicine,male,"""for his discovery of the antineuritic vitamin""",the Netherlands,NL,5/11/1930,the Netherlands,NL,Utrecht University,the Netherlands,71,1858,NLD
